30.6559 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1366, 768]. Using actual size
80.2874 	DATA 	round 1 - trial 30 - throw: 2to3 - FBALL
82.2186 	DATA 	round 1 - trial 31 - throw: 3to2 - FBALL
82.5481 	DATA 	Keypress: c
83.0452 	DATA 	PLAYER HAS BALL
85.3512 	DATA 	Keypress: c
85.3514 	DATA 	PLAYER THROWS TO 3 - RT 2.3062
85.3514 	DATA 	round 1 - trial 32 - throw: 2to3 - FBALL
87.4921 	DATA 	Keypress: c
87.6918 	DATA 	round 1 - trial 33 - throw: 3to1 - FBALL
91.4461 	DATA 	Keypress: b
91.6453 	DATA 	round 1 - trial 34 - throw: 1to3 - FBALL
91.8873 	DATA 	Keypress: b
92.5026 	DATA 	Keypress: b
94.9486 	DATA 	Keypress: b
94.9488 	DATA 	Keypress: c
94.9493 	DATA 	Keypress: c
95.1480 	DATA 	round 1 - trial 35 - throw: 3to1 - FBALL
97.7368 	DATA 	Keypress: b
97.9359 	DATA 	round 1 - trial 36 - throw: 1to3 - FBALL
100.9353 	DATA 	Keypress: b
100.9355 	DATA 	Keypress: c
101.1345 	DATA 	round 1 - trial 37 - throw: 3to1 - FBALL
105.1820 	DATA 	Keypress: b
105.3817 	DATA 	round 1 - trial 38 - throw: 1to3 - FBALL
108.6448 	DATA 	Keypress: b
108.6450 	DATA 	Keypress: c
108.8439 	DATA 	round 1 - trial 39 - throw: 3to2 - FBALL
109.6717 	DATA 	PLAYER HAS BALL
110.4152 	DATA 	Keypress: c
110.4153 	DATA 	PLAYER THROWS TO 3 - RT 0.7436
110.4153 	DATA 	round 1 - trial 40 - throw: 2to3 - FBALL
111.6921 	DATA 	round 1 - trial 41 - throw: 3to1 - FBALL
111.7511 	DATA 	Keypress: c
113.3650 	DATA 	Keypress: b
113.5647 	DATA 	round 1 - trial 42 - throw: 1to2 - FBALL
114.4099 	DATA 	PLAYER HAS BALL
114.7759 	DATA 	Keypress: b
114.7760 	DATA 	PLAYER THROWS TO 1 - RT 0.3660
114.7760 	DATA 	round 1 - trial 43 - throw: 2to1 - FBALL
115.1671 	DATA 	Keypress: b
117.9904 	DATA 	Keypress: b
117.9905 	DATA 	Keypress: b
118.1895 	DATA 	round 1 - trial 44 - throw: 1to2 - FBALL
119.0178 	DATA 	PLAYER HAS BALL
119.3359 	DATA 	Keypress: b
119.3360 	DATA 	PLAYER THROWS TO 1 - RT 0.3182
